order_id,order_date,customer_city,customer_state,category,product_name,quantity,unit_price,total_amount,payment_method,rating
ORD00054,2024-12-10,Hyderabad,Telangana,Grocery,Tea Powder,3,200.83,602.49,UPI,4.5
ORD00055,2024-02-07,Nagpur,Maharashtra,Electronics,Smartphone,1,19964.98,19964.98,Credit Card,4.7
ORD00056,2024-12-01,Coimbatore,Tamil Nadu,Clothing,Sneakers,1,3542.5,3542.5,Debit Card,4.7
ORD00057,2024-08-25,Surat,Gujarat,Electronics,Smart TV,3,17897.87,53693.61,UPI,3.1
ORD00058,2024-10-13,Surat,Gujarat,Electronics,Smart TV,1,11100.46,11100.46,Debit Card,4.9
ORD00059,2024-10-07,Jaipur,Rajasthan,Books,Python Programming,4,670.5,2682.0,Credit Card,2.9
ORD00060,2024-09-23,Surat,Gujarat,Books,UPSC Guide,1,281.43,281.43,Credit Card,3.1
ORD00061,2024-10-03,Mysuru,Karnataka,Electronics,Smartwatch,1,23215.39,23215.39,UPI,2.9
ORD00062,2024-10-04,Bengaluru,Karnataka,Grocery,Toor Dal,1,367.89,367.89,Credit Card,2.7
ORD00063,2024-10-21,Surat,Gujarat,Books,UPSC Guide,2,733.39,1466.78,Credit Card,2.5
ORD00064,2024-10-06,Gurgaon,Haryana,Home & Kitchen,Curtains,5,12845.68,64228.4,Net Banking,4.7
ORD00065,2024-12-13,Mysuru,Karnataka,Clothing,Kurta,1,2292.01,2292.01,Net Banking,4.3
ORD00066,2024-10-30,Surat,Gujarat,Books,Fiction Novel,2,786.51,1573.02,Debit Card,2.6
ORD00067,2024-06-16,Hyderabad,Telangana,Books,Fiction Novel,1,706.8,706.8,UPI,3.3
ORD00068,2024-02-11,Ahmedabad,Gujarat,Books,Self-Help Book,3,626.41,1879.23,Credit Card,4.4
ORD00069,2024-01-16,Mumbai,Maharashtra,Home & Kitchen,Pressure Cooker,3,9857.12,29571.36,Cash on Delivery,3.0
ORD00070,2024-04-21,Mumbai,Maharashtra,Sports,Badminton Racket,1,2613.89,2613.89,Credit Card,3.1
ORD00071,2024-03-24,Gurgaon,Haryana,Clothing,Jacket,2,3114.79,6229.58,EMI,2.8
ORD00072,2024-04-11,Mumbai,Maharashtra,Home & Kitchen,Air Purifier,5,10257.01,51285.05,UPI,4.2
ORD00073,2024-03-02,Hyderabad,Telangana,Clothing,T-Shirt,1,3546.53,3546.53,Net Banking,3.9
ORD00074,2024-06-23,Mumbai,Maharashtra,Home & Kitchen,Air Purifier,1,6597.16,6597.16,UPI,3.6
ORD00075,2024-12-28,Mysuru,Karnataka,Electronics,Smart TV,2,76882.61,153765.22,UPI,2.9
ORD00076,2024-08-26,Chennai,Tamil Nadu,Grocery,Cooking Oil,4,327.16,1308.64,Credit Card,4.3
ORD00077,2024-05-04,Noida,Uttar Pradesh,Home & Kitchen,Pressure Cooker,1,12511.75,12511.75,Net Banking,3.9
ORD00078,2024-04-18,Hyderabad,Telangana,Books,Self-Help Book,3,120.09,360.27,Credit Card,3.1
ORD00079,2024-05-03,Noida,Uttar Pradesh,Sports,Yoga Mat,2,5691.17,11382.34,Debit Card,3.7
ORD00080,2024-01-09,Ahmedabad,Gujarat,Clothing,Sneakers,2,2485.25,4970.5,UPI,3.1
ORD00081,2024-06-25,Kolkata,West Bengal,Clothing,Kurta,1,3387.01,3387.01,Credit Card,4.4
ORD00082,2024-04-08,Gurgaon,Haryana,Home & Kitchen,Curtains,1,4282.47,4282.47,UPI,4.4
ORD00083,2024-10-28,Ahmedabad,Gujarat,Grocery,Toor Dal,2,136.19,272.38,EMI,3.8
ORD00084,2024-12-28,Noida,Uttar Pradesh,Electronics,Laptop,1,24051.59,24051.59,Credit Card,3.2
ORD00085,2024-09-08,Mumbai,Maharashtra,Sports,Yoga Mat,1,7064.95,7064.95,UPI,2.5
ORD00086,2024-09-01,Noida,Uttar Pradesh,Books,UPSC Guide,1,408.33,408.33,UPI,2.7
ORD00087,2024-10-15,Mysuru,Karnataka,Electronics,Tablet,1,50540.93,50540.93,Cash on Delivery,2.7
ORD00088,2024-04-25,Delhi,Delhi,Electronics,Tablet,2,61273.25,122546.5,Net Banking,3.5
ORD00089,2024-11-13,Jaipur,Rajasthan,Books,Self-Help Book,5,702.12,3510.6,UPI,4.9
ORD00090,2024-03-29,Pune,Maharashtra,Clothing,Sneakers,2,1212.92,2425.84,Debit Card,2.9
ORD00091,2024-05-24,Bengaluru,Karnataka,Books,Python Programming,1,428.94,428.94,Debit Card,3.6
ORD00092,2024-04-11,Hyderabad,Telangana,Clothing,Kurta,2,3981.57,7963.14,Credit Card,3.9
ORD00093,2024-06-06,Hyderabad,Telangana,Clothing,Kurta,1,4167.83,4167.83,Debit Card,4.6
ORD00094,2024-05-19,Jaipur,Rajasthan,Home & Kitchen,Curtains,2,2128.0,4256.0,Credit Card,3.7
ORD00095,2024-01-14,Pune,Maharashtra,Sports,Cricket Bat,2,8927.4,17854.8,UPI,4.9
ORD00096,2024-05-17,Surat,Gujarat,Sports,Running Shoes,5,9522.63,47613.15,Debit Card,4.4
ORD00097,2024-10-26,Nagpur,Maharashtra,Books,Python Programming,4,556.06,2224.24,Credit Card,4.5
ORD00098,2024-03-23,Pune,Maharashtra,Books,Self-Help Book,1,385.84,385.84,UPI,4.2
ORD00099,2024-06-10,Noida,Uttar Pradesh,Grocery,Spice Set,2,416.1,832.2,UPI,2.8
ORD00100,2024-08-24,Ahmedabad,Gujarat,Books,Python Programming,1,677.45,677.45,Credit Card,3.0
ORD00101,2024-10-08,Gurgaon,Haryana,Sports,Dumbbells,3,6366.46,19099.38,UPI,3.2
ORD00102,2024-05-02,Jaipur,Rajasthan,Grocery,Spice Set,5,104.64,523.2,Debit Card,3.3
ORD00103,2024-08-24,Mumbai,Maharashtra,Sports,Dumbbells,5,1204.13,6020.65,Cash on Delivery,4.1
ORD00104,2024-08-29,Nagpur,Maharashtra,Books,Self-Help Book,1,456.21,456.21,UPI,3.9
ORD00105,2024-05-21,Bengaluru,Karnataka,Clothing,Jacket,4,2639.56,10558.24,Net Banking,4.6
ORD00106,2024-10-27,Gurgaon,Haryana,Sports,Yoga Mat,1,8259.33,8259.33,Debit Card,4.1
ORD00107,2024-10-05,Surat,Gujarat,Clothing,Saree,1,2785.19,2785.19,Credit Card,4.8
ORD00108,2024-07-29,Surat,Gujarat,Clothing,Sneakers,1,1346.27,1346.27,UPI,4.4
ORD00109,2024-03-18,Kolkata,West Bengal,Books,UPSC Guide,3,791.89,2375.67,Credit Card,2.6
ORD00110,2024-09-26,Chennai,Tamil Nadu,Sports,Yoga Mat,4,8736.09,34944.36,Cash on Delivery,2.5
ORD00111,2024-11-15,Nagpur,Maharashtra,Books,Fiction Novel,3,152.38,457.14,Debit Card,4.1
ORD00112,2024-09-06,Surat,Gujarat,Home & Kitchen,Air Purifier,1,5886.14,5886.14,Cash on Delivery,2.6
ORD00113,2024-02-16,Pune,Maharashtra,Clothing,Sneakers,1,3485.12,3485.12,Credit Card,2.7
ORD00114,2024-01-24,Hyderabad,Telangana,Grocery,Basmati Rice,2,249.66,499.32,UPI,2.6
ORD00115,2024-04-02,Gurgaon,Haryana,Home & Kitchen,Curtains,2,2439.88,4879.76,UPI,2.7
ORD00116,2024-04-28,Surat,Gujarat,Books,Python Programming,1,578.19,578.19,Credit Card,3.1
ORD00117,2024-10-06,Noida,Uttar Pradesh,Grocery,Basmati Rice,1,454.51,454.51,UPI,3.6
ORD00118,2024-06-03,Gurgaon,Haryana,Sports,Yoga Mat,1,6497.71,6497.71,UPI,3.5
ORD00119,2024-12-24,Mysuru,Karnataka,Electronics,Laptop,1,30818.46,30818.46,UPI,4.9
ORD00120,2024-01-26,Hyderabad,Telangana,Books,Self-Help Book,3,105.67,317.01,Cash on Delivery,4.4
ORD00121,2024-11-13,Surat,Gujarat,Home & Kitchen,Pressure Cooker,1,9223.86,9223.86,UPI,4.4
ORD00122,2024-06-07,Ahmedabad,Gujarat,Grocery,Toor Dal,4,332.71,1330.84,Net Banking,2.6
ORD00123,2024-03-30,Gurgaon,Haryana,Grocery,Toor Dal,1,90.56,90.56,UPI,4.5
ORD00124,2024-09-03,Jaipur,Rajasthan,Home & Kitchen,Air Purifier,1,7676.38,7676.38,EMI,3.2
ORD00125,2024-04-25,Surat,Gujarat,Home & Kitchen,Mixer Grinder,1,7184.47,7184.47,Cash on Delivery,4.3
ORD00126,2024-03-04,Bengaluru,Karnataka,Sports,Yoga Mat,1,1175.94,1175.94,Credit Card,4.2
ORD00127,2024-12-11,Hyderabad,Telangana,Home & Kitchen,Air Purifier,2,5901.07,11802.14,UPI,2.6
ORD00128,2024-08-25,Jaipur,Rajasthan,Sports,Yoga Mat,1,9177.98,9177.98,Cash on Delivery,3.3
ORD00129,2024-02-29,Bengaluru,Karnataka,Electronics,Laptop,1,4105.07,4105.07,UPI,4.7
ORD00130,2024-10-03,Nagpur,Maharashtra,Books,UPSC Guide,4,359.71,1438.84,Credit Card,4.4
ORD00131,2024-05-23,Nagpur,Maharashtra,Books,Engineering Textbook,2,683.59,1367.18,UPI,3.4
ORD00132,2024-10-05,Mysuru,Karnataka,Books,Fiction Novel,1,698.82,698.82,Cash on Delivery,4.1
ORD00133,2024-08-20,Mumbai,Maharashtra,Books,Self-Help Book,1,232.87,232.87,UPI,3.0
ORD00134,2024-10-16,Hyderabad,Telangana,Sports,Cricket Bat,1,790.61,790.61,UPI,4.6
ORD00135,2024-03-16,Chennai,Tamil Nadu,Clothing,Jacket,3,1236.57,3709.71,Net Banking,4.0
ORD00136,2024-01-14,Noida,Uttar Pradesh,Clothing,Jeans,3,2793.03,8379.09,UPI,3.4
ORD00137,2024-08-03,Ahmedabad,Gujarat,Clothing,Jacket,1,1754.1,1754.1,Credit Card,4.4
ORD00138,2024-11-10,Mysuru,Karnataka,Books,Self-Help Book,1,459.27,459.27,UPI,4.5
ORD00139,2024-09-02,Surat,Gujarat,Grocery,Tea Powder,2,185.73,371.46,Cash on Delivery,3.6
ORD00140,2024-02-03,Pune,Maharashtra,Books,UPSC Guide,1,151.44,151.44,UPI,4.1
ORD00141,2024-09-15,Coimbatore,Tamil Nadu,Sports,Yoga Mat,2,3994.77,7989.54,Debit Card,2.7
ORD00142,2024-04-20,Kolkata,West Bengal,Electronics,Smartwatch,3,52247.87,156743.61,Credit Card,4.7
ORD00143,2024-06-09,Bengaluru,Karnataka,Home & Kitchen,Curtains,2,6161.33,12322.66,Debit Card,3.4
ORD00144,2024-02-19,Nagpur,Maharashtra,Grocery,Spice Set,3,80.21,240.63,Net Banking,3.4
ORD00145,2024-03-03,Nagpur,Maharashtra,Sports,Cricket Bat,2,5988.71,11977.42,Credit Card,4.7
ORD00146,2024-10-22,Ahmedabad,Gujarat,Books,Engineering Textbook,2,777.88,1555.76,Credit Card,2.9
ORD00147,2024-05-22,Mysuru,Karnataka,Clothing,T-Shirt,2,1880.55,3761.1,Debit Card,4.5
ORD00148,2024-12-02,Surat,Gujarat,Sports,Running Shoes,2,,,Net Banking,3.2
ORD00149,2024-03-14,Nagpur,Maharashtra,Home & Kitchen,Bedsheet,1,13846.6,13846.6,Debit Card,3.5
ORD00150,2024-08-20,Nagpur,Maharashtra,Grocery,Basmati Rice,2,91.29,182.58,UPI,3.4
ORD00151,2024-11-12,Kolkata,West Bengal,Home & Kitchen,Air Purifier,4,9064.49,36257.96,UPI,2.7
ORD00152,2024-09-19,Mysuru,Karnataka,Grocery,Spice Set,1,268.55,268.55,UPI,3.6
ORD00153,2024-07-21,Noida,Uttar Pradesh,Grocery,Tea Powder,2,268.98,537.96,EMI,2.6
ORD00154,2024-03-02,Delhi,Delhi,Home & Kitchen,Pressure Cooker,3,11580.04,34740.12,UPI,4.4
ORD00155,2024-12-08,Nagpur,Maharashtra,Clothing,Saree,1,2756.4,2756.4,Net Banking,2.7
ORD00156,2024-06-09,Surat,Gujarat,Grocery,Basmati Rice,1,246.3,246.3,Debit Card,3.9
ORD00157,2024-03-28,Kolkata,West Bengal,Grocery,Spice Set,1,180.28,180.28,Net Banking,4.0
ORD00158,2024-10-28,Surat,Gujarat,Grocery,Cooking Oil,3,89.66,268.98,Credit Card,2.7
ORD00159,2024-11-20,Surat,Gujarat,Home & Kitchen,Bedsheet,3,3557.11,10671.33,UPI,3.8
ORD00160,2024-04-30,Jaipur,Rajasthan,Home & Kitchen,Bedsheet,3,10992.47,32977.41,UPI,3.1
ORD00161,2024-11-17,Nagpur,Maharashtra,Sports,Badminton Racket,2,7674.09,15348.18,Credit Card,4.4
ORD00162,2024-11-15,Ahmedabad,Gujarat,Sports,Dumbbells,4,6906.99,27627.96,UPI,4.9
ORD00163,2024-05-20,Gurgaon,Haryana,Clothing,Saree,1,527.77,527.77,Debit Card,3.4
ORD00164,2024-02-09,Pune,Maharashtra,Home & Kitchen,Curtains,1,6943.13,6943.13,Debit Card,4.9
ORD00165,2024-01-22,Pune,Maharashtra,Sports,Running Shoes,1,5218.56,5218.56,Credit Card,4.5
ORD00166,2024-08-18,Hyderabad,Telangana,Clothing,Kurta,2,3104.03,6208.06,UPI,4.7
ORD00167,2024-08-12,Gurgaon,Haryana,Grocery,Basmati Rice,1,277.05,277.05,EMI,3.8
ORD00168,2024-06-22,Coimbatore,Tamil Nadu,Clothing,Kurta,1,1989.69,1989.69,Debit Card,2.6
ORD00169,2024-05-25,Hyderabad,Telangana,Grocery,Cooking Oil,1,79.66,79.66,UPI,4.6
ORD00170,2024-06-28,Jaipur,Rajasthan,Sports,Badminton Racket,2,3533.61,7067.22,UPI,4.1
ORD00171,2024-07-11,Hyderabad,Telangana,Books,Fiction Novel,4,516.53,2066.12,Debit Card,3.3
ORD00172,2024-01-10,Nagpur,Maharashtra,Grocery,Tea Powder,2,92.05,184.1,Credit Card,3.0
ORD00173,2024-05-31,Delhi,Delhi,Home & Kitchen,Curtains,5,3122.48,15612.4,Cash on Delivery,2.8
ORD00174,2024-03-08,Ahmedabad,Gujarat,Sports,Running Shoes,1,666.15,666.15,Debit Card,2.9
ORD00175,2024-07-29,Nagpur,Maharashtra,Grocery,Tea Powder,1,414.07,414.07,Credit Card,4.3
ORD00176,2024-05-02,Mysuru,Karnataka,Sports,Yoga Mat,3,7598.19,22794.57,UPI,4.5
ORD00177,2024-05-24,Mysuru,Karnataka,Clothing,Kurta,2,3455.87,6911.74,Net Banking,3.8
ORD00178,2024-11-24,Bengaluru,Karnataka,Clothing,Jeans,1,4046.04,4046.04,Credit Card,3.4
ORD00179,2024-03-23,Jaipur,Rajasthan,Electronics,Smartwatch,3,67748.44,203245.32,UPI,4.8
ORD00180,2024-06-27,Nagpur,Maharashtra,Books,Engineering Textbook,1,762.49,762.49,Cash on Delivery,3.5
ORD00181,2024-01-15,Bengaluru,Karnataka,Sports,Yoga Mat,5,2587.05,12935.25,UPI,2.7
ORD00182,2024-08-29,Kolkata,West Bengal,Grocery,Cooking Oil,1,406.12,406.12,Debit Card,2.8
ORD00183,2024-04-20,Kolkata,West Bengal,Books,UPSC Guide,4,,,Cash on Delivery,3.9
ORD00184,2024-03-03,Kolkata,West Bengal,Sports,Running Shoes,3,4405.57,13216.71,UPI,3.5
ORD00185,2024-10-01,Ahmedabad,Gujarat,Sports,Dumbbells,3,909.23,2727.69,UPI,3.8
ORD00186,2024-10-19,Delhi,Delhi,Grocery,Toor Dal,1,181.07,181.07,Credit Card,4.2
ORD00187,2024-09-16,Pune,Maharashtra,Sports,Yoga Mat,2,956.49,1912.98,Debit Card,3.5
ORD00188,2024-07-01,Mysuru,Karnataka,Electronics,Smartwatch,1,31257.07,31257.07,Net Banking,3.4
ORD00189,2024-01-23,Kolkata,West Bengal,Grocery,Basmati Rice,2,397.18,794.36,Credit Card,3.3
ORD00190,2024-03-10,Hyderabad,Telangana,Clothing,Sneakers,2,2430.19,4860.38,UPI,4.4
ORD00191,2024-06-10,Mysuru,Karnataka,Electronics,Headphones,3,16526.48,49579.44,Cash on Delivery,3.8
ORD00192,2024-07-01,Surat,Gujarat,Sports,Dumbbells,3,2757.14,8271.42,Cash on Delivery,2.6
ORD00193,2024-08-13,Hyderabad,Telangana,Home & Kitchen,Bedsheet,1,2129.78,2129.78,Cash on Delivery,3.5
ORD00194,2024-02-12,Nagpur,Maharashtra,Books,UPSC Guide,3,357.14,1071.42,Debit Card,2.7
ORD00195,2024-05-31,Coimbatore,Tamil Nadu,Clothing,Jacket,1,1610.08,1610.08,UPI,4.0
ORD00196,2024-06-29,Bengaluru,Karnataka,Clothing,Sneakers,1,2330.76,2330.76,Debit Card,3.6
ORD00197,2024-12-13,Hyderabad,Telangana,Electronics,Smartphone,1,53859.12,53859.12,UPI,2.6
ORD00198,2024-07-06,Surat,Gujarat,Sports,Dumbbells,1,637.55,637.55,Credit Card,4.9
ORD00199,2024-02-09,Mumbai,Maharashtra,Sports,Badminton Racket,4,6886.9,27547.6,Debit Card,3.8
ORD00200,2024-09-12,Bengaluru,Karnataka,Home & Kitchen,Bedsheet,1,3969.29,3969.29,Credit Card,4.8
ORD00201,2024-12-21,Pune,Maharashtra,Home & Kitchen,Bedsheet,1,10649.36,10649.36,Cash on Delivery,3.7
ORD00202,2024-02-14,Pune,Maharashtra,Clothing,T-Shirt,4,2369.8,9479.2,Net Banking,4.9
ORD00203,2024-06-02,Gurgaon,Haryana,Grocery,Cooking Oil,2,369.29,738.58,Cash on Delivery,4.3
ORD00204,2024-04-12,Jaipur,Rajasthan,Grocery,Toor Dal,2,407.16,814.32,Net Banking,3.1
ORD00205,2024-10-09,Mysuru,Karnataka,Electronics,Headphones,1,44544.7,44544.7,UPI,4.7
ORD00206,2024-07-28,Pune,Maharashtra,Home & Kitchen,Curtains,2,14994.05,29988.1,Net Banking,2.7
ORD00207,2024-10-09,Gurgaon,Haryana,Grocery,Basmati Rice,2,252.49,504.98,Debit Card,3.0
ORD00208,2024-03-19,Nagpur,Maharashtra,Books,Python Programming,1,737.5,737.5,UPI,2.9
ORD00209,2024-02-10,Jaipur,Rajasthan,Grocery,Toor Dal,4,205.71,822.84,UPI,4.1
ORD00210,2024-11-24,Chennai,Tamil Nadu,Home & Kitchen,Pressure Cooker,2,9487.83,18975.66,UPI,4.9
ORD00211,2024-10-15,Nagpur,Maharashtra,Clothing,Sneakers,4,3197.5,12790.0,UPI,4.7
ORD00212,2024-10-19,Pune,Maharashtra,Electronics,Smartwatch,1,61796.28,61796.28,Credit Card,4.1
ORD00213,2024-12-16,Mysuru,Karnataka,Grocery,Tea Powder,5,180.35,901.75,Credit Card,3.6
ORD00214,2024-11-06,Kolkata,West Bengal,Electronics,Laptop,1,35448.64,35448.64,UPI,4.7
ORD00215,2024-10-14,Gurgaon,Haryana,Grocery,Cooking Oil,1,488.92,488.92,UPI,3.1
ORD00216,2024-07-15,Pune,Maharashtra,Home & Kitchen,Curtains,1,3944.41,3944.41,Cash on Delivery,3.5
ORD00217,2024-03-22,Surat,Gujarat,Clothing,Kurta,2,4682.01,9364.02,Credit Card,3.8
ORD00218,2024-05-03,Mysuru,Karnataka,Home & Kitchen,Curtains,4,640.69,2562.76,UPI,3.4
ORD00219,2024-05-26,Mumbai,Maharashtra,Home & Kitchen,Curtains,3,9083.53,27250.59,Credit Card,4.6
ORD00220,2024-07-24,Bengaluru,Karnataka,Clothing,Kurta,3,3692.04,11076.12,UPI,3.9
ORD00221,2024-05-23,Gurgaon,Haryana,Sports,Yoga Mat,2,1013.26,2026.52,Net Banking,4.1
ORD00222,2024-06-22,Coimbatore,Tamil Nadu,Electronics,Laptop,1,78019.08,78019.08,Debit Card,3.4
ORD00223,2024-03-11,Nagpur,Maharashtra,Clothing,Jacket,2,2643.79,5287.58,Debit Card,4.5
ORD00224,2024-11-09,Chennai,Tamil Nadu,Books,Fiction Novel,2,524.38,1048.76,UPI,3.5
ORD00225,2024-09-07,Coimbatore,Tamil Nadu,Grocery,Cooking Oil,2,317.18,634.36,Debit Card,3.2
ORD00226,2024-06-06,Surat,Gujarat,Electronics,Headphones,1,26833.55,26833.55,Net Banking,4.3
ORD00227,2024-10-23,Kolkata,West Bengal,Grocery,Basmati Rice,1,318.61,318.61,Debit Card,4.3
ORD00228,2024-07-13,Coimbatore,Tamil Nadu,Books,Fiction Novel,2,466.96,933.92,UPI,4.2
ORD00229,2024-07-30,Mumbai,Maharashtra,Sports,Cricket Bat,1,2150.61,2150.61,Debit Card,3.5
ORD00230,2024-03-11,Ahmedabad,Gujarat,Sports,Dumbbells,2,8766.33,17532.66,Credit Card,3.9
ORD00231,2024-09-29,Hyderabad,Telangana,Books,Python Programming,5,363.78,1818.9,UPI,3.4
ORD00232,2024-10-12,Ahmedabad,Gujarat,Grocery,Cooking Oil,1,324.53,324.53,UPI,4.9
ORD00233,2024-10-13,Noida,Uttar Pradesh,Home & Kitchen,Pressure Cooker,1,10446.53,10446.53,Cash on Delivery,4.5
ORD00234,2024-07-21,Noida,Uttar Pradesh,Home & Kitchen,Mixer Grinder,2,8730.11,17460.22,Net Banking,4.9
ORD00235,2024-08-14,Ahmedabad,Gujarat,Clothing,Kurta,5,401.92,2009.6,Debit Card,4.4
ORD00236,2024-02-25,Delhi,Delhi,Clothing,Jacket,2,1501.44,3002.88,Debit Card,4.0
ORD00237,2024-02-21,Delhi,Delhi,Electronics,Smartwatch,1,72462.14,72462.14,Credit Card,4.3
ORD00238,2024-07-27,Pune,Maharashtra,Grocery,Toor Dal,2,52.33,104.66,Debit Card,4.7
